#GBE_ID	pop
BIN4092	african
BIN4092	s_asian
BIN4092	e_asian
BIN4092	related
BIN4092	others
BIN4093	white_british
BIN4093	non_british_white
BIN4093	related
BIN4093	others
BIN4095	white_british
BIN4095	non_british_white
BIN4095	african
BIN4095	s_asian
BIN4095	e_asian
BIN4095	related
BIN4095	others
BIN4096	white_british
BIN4096	non_british_white
BIN4096	african
BIN4096	s_asian
BIN4096	related
BIN4096	others
BIN41215	white_british
BIN41215	non_british_white
BIN41215	african
BIN41215	s_asian
BIN41215	related
BIN41215	others
BIN4232	white_british
BIN4232	non_british_white
BIN4232	african
BIN4232	s_asian
BIN4232	e_asian
BIN4232	related
BIN4232	others
BIN4243	white_british
BIN4243	non_british_white
BIN4243	african
BIN4243	s_asian
BIN4243	e_asian
BIN4243	related
BIN4243	others
BIN4598	white_british
BIN4598	non_british_white
BIN4598	african
BIN4598	s_asian
BIN4598	e_asian
BIN4598	related
BIN4598	others
BIN4631	white_british
BIN4631	non_british_white
BIN4631	african
BIN4631	s_asian
BIN4631	e_asian
BIN4631	related
BIN4631	others
BIN4642	white_british
BIN4642	non_british_white
BIN4642	african
BIN4642	s_asian
BIN4642	e_asian
BIN4642	related
BIN4642	others
BIN4653	white_british
BIN4653	non_british_white
BIN4653	african
BIN4653	s_asian
BIN4653	e_asian
BIN4653	related
BIN4653	others
BIN4728	white_british
BIN4728	non_british_white
BIN4728	african
BIN4728	s_asian
BIN4728	e_asian
BIN4728	related
BIN4728	others
BIN4792	white_british
BIN4792	non_british_white
BIN4792	s_asian
BIN4792	related
BIN4792	others
BIN5181	white_british
BIN5181	non_british_white
BIN5181	african
BIN5181	s_asian
BIN5181	e_asian
BIN5181	related
BIN5181	others
BIN5324	white_british
BIN5324	non_british_white
BIN5324	african
BIN5324	s_asian
BIN5324	e_asian
BIN5324	related
BIN5324	others
BIN5325	white_british
BIN5325	non_british_white
BIN5325	african
BIN5325	s_asian
BIN5325	e_asian
BIN5325	related
BIN5325	others
BIN5326	white_british
BIN5326	non_british_white
BIN5326	african
BIN5326	s_asian
BIN5326	related
BIN5326	others
BIN5327	white_british
BIN5327	non_british_white
BIN5327	african
BIN5327	s_asian
BIN5327	related
BIN5327	others
BIN5328	white_british
BIN5328	non_british_white
BIN5328	related
BIN5328	others
BIN5452	white_british
BIN5452	non_british_white
BIN5452	african
BIN5452	s_asian
BIN5452	e_asian
BIN5452	related
BIN5452	others
BIN5463	white_british
BIN5463	non_british_white
BIN5463	african
BIN5463	s_asian
BIN5463	e_asian
BIN5463	related
BIN5463	others
BIN5474	white_british
BIN5474	non_british_white
BIN5474	african
BIN5474	s_asian
BIN5474	e_asian
BIN5474	related
BIN5474	others
BIN5485	white_british
BIN5485	non_british_white
BIN5485	african
BIN5485	s_asian
BIN5485	e_asian
BIN5485	related
BIN5485	others
BIN5496	white_british
BIN5496	non_british_white
BIN5496	african
BIN5496	s_asian
BIN5496	e_asian
BIN5496	related
BIN5496	others
BIN5529	white_british
BIN5529	non_british_white
BIN5529	african
BIN5529	s_asian
BIN5529	e_asian
BIN5529	related
BIN5529	others
BIN5674	white_british
BIN5674	non_british_white
BIN5674	african
BIN5674	s_asian
BIN5674	e_asian
BIN5674	related
BIN5674	others
BIN6014	white_british
BIN6014	non_british_white
BIN6014	african
BIN6014	s_asian
BIN6014	e_asian
BIN6014	related
BIN6014	others
BIN6015	white_british
BIN6015	non_british_white
BIN6015	african
BIN6015	s_asian
BIN6015	e_asian
BIN6015	related
BIN6015	others
BIN6016	white_british
BIN6016	non_british_white
BIN6016	african
BIN6016	s_asian
BIN6016	e_asian
BIN6016	related
BIN6016	others
BIN6017	white_british
BIN6017	non_british_white
BIN6017	african
BIN6017	s_asian
BIN6017	e_asian
BIN6017	related
BIN6017	others
BIN_FC10000120	white_british
BIN_FC10000120	non_british_white
BIN_FC10000120	african
BIN_FC10000120	s_asian
BIN_FC10000120	e_asian
BIN_FC10000120	related
BIN_FC10000120	others
BIN_FC10001140	white_british
BIN_FC10001140	non_british_white
BIN_FC10001140	african
BIN_FC10001140	s_asian
BIN_FC10001140	e_asian
BIN_FC10001140	related
BIN_FC10001140	others
BIN_FC10001150	white_british
